sepal_length,sepal_width,petal_length,petal_width,species
6.0,3.4,4.5,1.6,versicolor
6.7,3.1,4.7,1.5,versicolor
6.3,2.3,4.4,1.3,versicolor
5.6,3.0,4.1,1.3,versicolor
5.5,2.5,4.0,1.3,versicolor
5.5,2.6,4.4,1.2,versicolor
6.1,3.0,4.6,1.4,versicolor
5.8,2.6,4.0,1.2,versicolor
5.0,2.3,3.3,1.0,versicolor
5.6,2.7,4.2,1.3,versicolor
5.7,3.0,4.2,1.2,versicolor
5.7,2.9,4.2,1.3,versicolor
6.2,2.9,4.3,1.3,versicolor
5.1,2.5,3.0,1.1,versicolor
5.7,2.8,4.1,1.3,versicolor
6.3,3.3,6.0,2.5,virginica
5.8,2.7,5.1,1.9,virginica
7.1,3.0,5.9,2.1,virginica
6.3,2.9,5.6,1.8,virginica
6.5,3.0,5.8,2.2,virginica
7.6,3.0,6.6,2.1,virginica
4.9,2.5,4.5,1.7,virginica
7.3,2.9,6.3,1.8,virginica
6.7,2.5,5.8,1.8,virginica
7.2,3.6,6.1,2.5,virginica
6.5,3.2,5.1,2.0,virginica
6.4,2.7,5.3,1.9,virginica
6.8,3.0,5.5,2.1,virginica
5.7,2.5,5.0,2.0,virginica
5.8,2.8,5.1,2.4,virginica
6.4,3.2,5.3,2.3,virginica
6.5,3.0,5.5,1.8,virginica
7.7,3.8,6.7,2.2,virginica
7.7,2.6,6.9,2.3,virginica
6.0,2.2,5.0,1.5,virginica
6.9,3.2,5.7,2.3,virginica
5.6,2.8,4.9,2.0,virginica
7.7,2.8,6.7,2.0,virginica
6.3,2.7,4.9,1.8,virginica
6.7,3.3,5.7,2.1,virginica
7.2,3.2,6.0,1.8,virginica
6.2,2.8,4.8,1.8,virginica
6.1,3.0,4.9,1.8,virginica
6.4,2.8,5.6,2.1,virginica
7.2,3.0,5.8,1.6,virginica
7.4,2.8,6.1,1.9,virginica
7.9,3.8,6.4,2.0,virginica
6.4,2.8,5.6,2.2,virginica
6.3,2.8,5.1,1.5,virginica
6.1,2.6,5.6,1.4,virginica
7.7,3.0,6.1,2.3,virginica
6.3,3.4,5.6,2.4,virginica
6.4,3.1,5.5,1.8,virginica
6.0,3.0,4.8,1.8,virginica
6.9,3.1,5.4,2.1,virginica
6.7,3.1,5.6,2.4,virginica
6.9,3.1,5.1,2.3,virginica
5.8,2.7,5.1,1.9,virginica
6.8,3.2,5.9,2.3,virginica
6.7,3.3,5.7,2.5,virginica
6.7,3.0,5.2,2.3,virginica
6.3,2.5,5.0,1.9,virginica
6.5,3.0,5.2,2.0,virginica
6.2,3.4,5.4,2.3,virginica
5.9,3.0,5.1,1.8,virginica
5.969075033108498,2.831443082322601,4.418173442533912,1.5566033738869793,iris-fake
5.038237402576196,2.77449280346264,3.8704614625514404,1.0792097503172904,iris-fake
5.836400324837447,2.8720475142842714,4.531608186204117,1.4947747330268961,iris-fake
5.870580943330707,3.302176305128489,4.1692689187730965,0.872934258701191,iris-fake
5.995498582558369,2.8490587740479074,4.53077451585078,1.180369160074556,iris-fake
5.767049759615156,2.9094317021612315,4.833472100920738,1.14063587917273,iris-fake
5.66658358086397,2.9808479951134705,4.226273472656054,1.3381459141373302,iris-fake
6.013647712089346,3.1509100177520493,5.642011748214709,1.0449580874252702,iris-fake
5.631956040328192,2.880577434135877,4.299878350256628,1.628169297276264,iris-fake
5.796312841334234,2.8748467392300663,3.032702198478737,1.4464586056717037,iris-fake
6.150037647142782,3.175309418995396,3.172549757591672,1.2875189561422333,iris-fake
5.8914838078417535,3.104833695802218,4.524597667477828,1.284265278351266,iris-fake
6.123487453640179,3.072011877821001,4.012338922774838,1.4391258389588204,iris-fake
5.2420370431037755,2.987898992105855,3.34421221980387,0.9566579376131032,iris-fake
5.7297957056523074,3.3820427841938856,2.996326607387273,1.5671302972035246,iris-fake
5.14889603512299,2.984594468355209,3.9011742022315725,1.4220077250559642,iris-fake
6.13682144086082,3.2296527034300735,3.451225845024159,1.0237107091410242,iris-fake
6.197377634894346,3.01578098488143,2.635776148032659,0.7688583624462235,iris-fake
5.463920753647369,3.1653193733055813,3.883292209556799,1.461611649913182,iris-fake
5.667027252863254,3.091769023645895,4.308333141328056,1.0818291904870803,iris-fake
6.031821930139133,2.9135593890193383,3.4386207931290276,1.0543316014026207,iris-fake
5.349869331197075,3.163106426652644,3.3450658070814456,1.2040791782781133,iris-fake
6.041713752641553,3.1543223534849525,4.343340633016535,1.1619239850647434,iris-fake
5.66865901146308,3.0400181007603386,2.273648468285789,0.6496529948107909,iris-fake
5.297520483973438,2.8407258536085784,4.109682199944698,0.8553904517949094,iris-fake
5.6872843111565965,3.339532844408626,3.4445938604126387,1.4794759034970921,iris-fake
5.458075394660535,3.0127111691720874,2.9222636670070603,1.0705528691450088,iris-fake
6.190087029003911,2.6821498650191984,4.140163362361754,1.2896363255741894,iris-fake
5.59815697035801,2.7432416373701334,3.8214524745670793,0.9982074795314773,iris-fake
5.939347322232689,3.062079739175302,5.16708814693154,1.108414980514258,iris-fake
5.420986431933495,3.0962729843697185,3.9515315301185066,1.7156157237565197,iris-fake
6.187942528352135,3.1348476844142987,5.045270528136229,0.7477860689875719,iris-fake
5.579339450133389,2.8560759576401336,3.415083523724338,0.6764041747165579,iris-fake
6.105428781775577,3.009065344883599,2.4641287127420606,0.8135693628108251,iris-fake
5.9727050249799225,3.2393790200552472,5.5145282245508405,2.306153250406622,iris-fake
6.014339653638649,2.842400227166232,1.8824345526301132,1.3010225455070934,iris-fake
5.507872665280915,2.9671154586580237,3.219537201543065,1.1458544340901649,iris-fake
6.283210764076567,3.0914451434160366,3.618448611370267,0.8059440727928469,iris-fake
5.15227433453581,2.9517045886343487,3.7106873807112426,1.8708749943305034,iris-fake
5.897091198762467,3.2707897443410507,3.318768646953254,0.7492368114205181,iris-fake
5.4450772780364,2.8998102550723437,5.6304191505630525,0.8873326309014331,iris-fake
6.189336444829085,2.861212598719602,4.57750667320875,1.3455555388605531,iris-fake
5.7786966036934695,3.0484794891204157,3.1819819332209476,1.3687722148223456,iris-fake
5.655584106300262,2.791125040383169,2.6337957179675193,1.2648902177125734,iris-fake
6.494946360214411,3.0920843891743344,3.653633623342751,1.3079033388922268,iris-fake
6.382255795585478,3.104984415694187,3.396506479666671,1.6195530220152776,iris-fake
6.020259954595118,3.3909079566776157,3.9191917069191384,0.7342232850870543,iris-fake
5.278761556080749,3.415923933684402,5.274312238591828,1.1311436218845405,iris-fake
5.685210837768725,3.374767047975559,2.7841296630068495,0.8594745731905256,iris-fake
6.108802550681766,2.9716229366859253,3.7534942834341765,1.1372501507873176,iris-fake
